,sequence,gdaxi,ftse,gspc
,,,,
Date,,,,
2010-01-07,10681.66015625,6019.35986328125,5526.7001953125,1141.68994140625
2010-01-08,10798.3203125,6037.60986328125,5534.2001953125,1144.97998046875
2010-01-11,10798.3203125,6040.5,5538.10009765625,1146.97998046875
2010-01-12,10879.1396484375,5943.0,5498.7001953125,1136.219970703125
2010-01-13,10735.0302734375,5963.14013671875,5473.5,1145.6800537109375
2010-01-14,10907.6796875,5988.8798828125,5498.2001953125,1148.4599609375
2010-01-15,10982.099609375,5875.97021484375,5455.39990234375,1136.030029296875
2010-01-18,10855.080078125,5918.5498046875,5494.39990234375,1136.030029296875
2010-01-19,10764.900390625,5976.47998046875,5513.10009765625,1150.22998046875
2010-01-20,10737.51953125,5851.52978515625,5420.7998046875,1138.0400390625
2010-01-21,10868.41015625,5746.97021484375,5335.10009765625,1116.47998046875
2010-01-22,10590.5498046875,5695.31982421875,5303.0,1091.760009765625
2010-01-25,10512.6904296875,5631.3701171875,5260.2998046875,1096.780029296875
2010-01-26,10325.2802734375,5668.93017578125,5276.89990234375,1092.1700439453125
2010-01-27,10252.080078125,5643.2001953125,5217.5,1097.5
2010-01-28,10414.2900390625,5540.330078125,5145.7001953125,1084.530029296875
2010-01-29,10198.0400390625,5608.7900390625,5188.5,1073.8699951171875
2010-02-01,10205.01953125,5654.47998046875,5247.39990234375,1089.18994140625
2010-02-02,10371.08984375,5709.66015625,5283.2998046875,1103.3199462890625
2010-02-03,10404.330078125,5672.08984375,5253.2001953125,1097.280029296875
2010-02-04,10355.98046875,5533.240234375,5139.2998046875,1063.1099853515625
2010-02-05,10057.08984375,5434.33984375,5060.89990234375,1066.18994140625
2010-02-08,9951.8203125,5484.85009765625,5092.2998046875,1056.739990234375
2010-02-09,9932.900390625,5498.259765625,5111.7998046875,1070.52001953125
2010-02-10,9963.990234375,5536.3701171875,5132.0,1068.1300048828125
2010-02-11,9963.990234375,5503.93017578125,5161.5,1078.469970703125
2010-02-12,10092.1904296875,5500.39013671875,5142.5,1075.510009765625
2010-02-15,10013.2998046875,5511.10009765625,5167.5,1075.510009765625
2010-02-16,10034.25,5592.1201171875,5244.10009765625,1094.8699951171875
2010-02-17,10306.830078125,5648.33984375,5276.60009765625,1099.510009765625
2010-02-18,10335.6904296875,5680.41015625,5325.10009765625,1106.75
2010-02-19,10123.580078125,5722.0498046875,5358.2001953125,1109.1700439453125
2010-02-22,10400.4697265625,5688.43994140625,5352.10009765625,1108.010009765625
2010-02-23,10352.099609375,5604.06982421875,5315.10009765625,1094.5999755859375
2010-02-24,10198.830078125,5615.509765625,5342.89990234375,1105.239990234375
2010-02-25,10101.9599609375,5532.330078125,5278.2001953125,1102.93994140625
2010-02-26,10126.0302734375,5598.4599609375,5354.5,1104.489990234375
2010-03-01,10172.0595703125,5713.509765625,5405.89990234375,1115.7099609375
2010-03-02,10221.83984375,5776.56005859375,5484.10009765625,1118.31005859375
2010-03-03,10253.1396484375,5817.8798828125,5533.2001953125,1118.7900390625
2010-03-04,10145.7197265625,5795.31982421875,5527.2001953125,1122.969970703125
2010-03-05,10368.9599609375,5877.35986328125,5599.7998046875,1138.699951171875
2010-03-08,10585.919921875,5875.91015625,5606.7001953125,1138.5
2010-03-09,10567.650390625,5885.89013671875,5602.2998046875,1140.449951171875
2010-03-10,10563.919921875,5936.72021484375,5640.60009765625,1145.6099853515625
2010-03-11,10664.9501953125,5928.6298828125,5617.2998046875,1150.239990234375
2010-03-12,10751.259765625,5945.10986328125,5625.7001953125,1149.989990234375
2010-03-15,10751.98046875,5903.56005859375,5593.89990234375,1150.510009765625
2010-03-16,10721.7099609375,5970.990234375,5620.39990234375,1159.4599609375
2010-03-17,10846.98046875,6024.27978515625,5644.60009765625,1166.2099609375
2010-03-18,10744.0302734375,6012.31005859375,5642.60009765625,1165.8299560546875
2010-03-19,10824.7197265625,5982.43017578125,5650.10009765625,1159.9000244140625
2010-03-22,10824.7197265625,5987.5,5644.5,1165.81005859375
2010-03-23,10774.150390625,6017.27001953125,5673.60009765625,1174.1700439453125
2010-03-24,10815.0302734375,6039.0,5677.89990234375,1167.719970703125
2010-03-25,10828.849609375,6132.9501953125,5727.7001953125,1165.72998046875
2010-03-26,10996.3701171875,6120.0498046875,5703.0,1166.5899658203125
2010-03-29,10986.4697265625,6156.85009765625,5710.7001953125,1173.219970703125
2010-03-30,11097.1396484375,6142.4501953125,5672.2998046875,1173.27001953125
2010-03-31,11089.9404296875,6153.5498046875,5679.60009765625,1169.4300537109375
2010-04-01,11244.400390625,6235.56005859375,5744.89990234375,1178.0999755859375
2010-04-02,11286.08984375,6235.56005859375,5744.89990234375,1178.0999755859375
2010-04-05,11339.2998046875,6235.56005859375,5744.89990234375,1187.43994140625
2010-04-06,11282.3203125,6252.2099609375,5780.39990234375,1189.43994140625
2010-04-07,11292.830078125,6222.41015625,5762.10009765625,1182.449951171875
2010-04-08,11168.2001953125,6171.830078125,5712.7001953125,1186.43994140625
2010-04-09,11204.33984375,6249.7001953125,5771.0,1194.3699951171875
2010-04-12,11251.900390625,6250.68994140625,5777.7001953125,1196.47998046875
2010-04-13,11161.23046875,6230.830078125,5761.7001953125,1197.300048828125
2010-04-14,11204.900390625,6278.39990234375,5796.2998046875,1210.6500244140625
2010-04-15,11273.7900390625,6291.4501953125,5825.0,1211.6700439453125
2010-04-16,11102.1796875,6180.89990234375,5744.0,1192.1300048828125
2010-04-19,10908.76953125,6162.43994140625,5727.89990234375,1197.52001953125
2010-04-20,10900.6796875,6264.22998046875,5783.7001953125,1207.1700439453125
2010-04-21,11090.0498046875,6230.3798828125,5723.39990234375,1205.93994140625
2010-04-22,10949.08984375,6168.72021484375,5665.2998046875,1208.6700439453125
2010-04-23,10914.4599609375,6259.52978515625,5723.7001953125,1217.280029296875
2010-04-26,11165.7900390625,6332.10009765625,5753.89990234375,1212.050048828125
2010-04-27,11212.66015625,6159.509765625,5603.5,1183.7099609375
2010-04-28,10924.7900390625,6084.33984375,5586.60009765625,1191.3599853515625
2010-04-29,10924.7900390625,6144.91015625,5617.7998046875,1206.780029296875
2010-04-30,11057.400390625,6135.7001953125,5553.2998046875,1186.68994140625
2010-05-03,11057.400390625,6166.919921875,5553.2998046875,1202.260009765625
2010-05-04,11057.400390625,6006.85986328125,5411.10009765625,1173.5999755859375
2010-05-05,11057.400390625,5958.4501953125,5341.89990234375,1165.8699951171875
2010-05-06,10695.6904296875,5908.259765625,5261.0,1128.1500244140625
2010-05-07,10364.58984375,5715.08984375,5123.0,1110.8800048828125
2010-05-10,10530.7001953125,6017.91015625,5387.39990234375,1159.72998046875
2010-05-11,10411.099609375,6037.7099609375,5334.2001953125,1155.7900390625
2010-05-12,10394.0302734375,6183.490234375,5383.5,1171.6700439453125
2010-05-13,10620.5498046875,6251.97021484375,5433.7001953125,1157.43994140625
2010-05-14,10462.509765625,6056.7099609375,5262.89990234375,1135.6800537109375
2010-05-17,10235.759765625,6066.919921875,5262.5,1136.93994140625
2010-05-18,10242.6396484375,6155.93017578125,5307.2998046875,1120.800048828125
2010-05-19,10186.83984375,5988.669921875,5158.10009765625,1115.050048828125
2010-05-20,10030.3095703125,5867.8798828125,5073.10009765625,1071.5899658203125
2010-05-21,9784.5400390625,5829.25,5062.89990234375,1087.68994140625
2010-05-24,9758.400390625,5805.68017578125,5069.60009765625,1073.6500244140625
2010-05-25,9459.8896484375,5670.0400390625,4940.7001953125,1074.030029296875
2010-05-26,9522.66015625,5758.02001953125,5038.10009765625,1067.949951171875
2010-05-27,9639.7197265625,5937.14013671875,5195.2001953125,1103.06005859375
2010-05-28,9762.98046875,5946.18017578125,5188.39990234375,1089.4100341796875
2010-05-31,9768.7001953125,5964.330078125,5188.39990234375,1089.4100341796875
2010-06-01,9711.830078125,5981.27001953125,5163.2998046875,1070.7099609375
2010-06-02,9603.240234375,5981.2001953125,5151.2998046875,1098.3800048828125
2010-06-03,9914.1904296875,6054.6298828125,5211.2001953125,1102.8299560546875
2010-06-04,9901.1904296875,5938.8798828125,5126.0,1064.8800048828125
2010-06-07,9520.7998046875,5904.9501953125,5069.10009765625,1050.469970703125
2010-06-08,9537.9404296875,5868.5498046875,5028.2001953125,1062.0
2010-06-09,9439.1298828125,5984.75,5085.89990234375,1055.68994140625
2010-06-10,9542.650390625,6056.58984375,5132.5,1086.8399658203125
2010-06-11,9705.25,6047.830078125,5163.7001953125,1091.5999755859375
2010-06-14,9879.849609375,6125.0,5202.10009765625,1089.6300048828125
2010-06-15,9887.8896484375,6175.0498046875,5217.7998046875,1115.22998046875
2010-06-16,10067.150390625,6190.91015625,5237.89990234375,1114.6099853515625
2010-06-17,9999.400390625,6223.5400390625,5253.89990234375,1116.0400390625
2010-06-18,9995.01953125,6216.97998046875,5250.7998046875,1117.510009765625
2010-06-21,10238.009765625,6292.97021484375,5299.10009765625,1113.199951171875
2010-06-22,10112.8896484375,6269.0400390625,5247.0,1095.31005859375
2010-06-23,9923.7001953125,6204.52001953125,5178.5,1092.0400390625
2010-06-24,9928.33984375,6115.47998046875,5100.2001953125,1073.68994140625
2010-06-25,9737.48046875,6070.60009765625,5046.5,1076.760009765625
2010-06-28,9693.9404296875,6157.22021484375,5071.7001953125,1074.5699462890625
2010-06-29,9570.669921875,5952.02978515625,4914.2001953125,1041.239990234375
2010-06-30,9382.6396484375,5965.52001953125,4916.89990234375,1030.7099609375
2010-07-01,9191.599609375,5857.43017578125,4805.7998046875,1027.3699951171875
2010-07-02,9203.7099609375,5834.14990234375,4838.10009765625,1022.5800170898438
2010-07-05,9266.7802734375,5816.2001953125,4823.5,1022.5800170898438
2010-07-06,9338.0400390625,5940.97998046875,4965.0,1028.06005859375
2010-07-07,9279.650390625,5992.85986328125,5014.7998046875,1060.27001953125
2010-07-08,9535.740234375,6035.66015625,5105.5,1070.25
2010-07-09,9585.3203125,6065.240234375,5132.89990234375,1077.9599609375
2010-07-12,9548.1103515625,6077.18994140625,5167.0,1078.75
2010-07-13,9537.23046875,6191.1298828125,5271.0,1095.3399658203125
2010-07-14,9795.240234375,6209.759765625,5253.5,1095.1700439453125
2010-07-15,9685.5302734375,6149.35986328125,5211.2998046875,1096.47998046875
2010-07-16,9408.3603515625,6040.27001953125,5158.89990234375,1064.8800048828125
2010-07-19,9408.3603515625,6009.10986328125,5148.2998046875,1071.25
2010-07-20,9408.3603515625,5967.490234375,5139.5,1083.47998046875
2010-07-21,9278.830078125,5990.3798828125,5214.60009765625,1069.5899658203125
2010-07-22,9220.8798828125,6142.14990234375,5313.7998046875,1093.6700439453125
2010-07-23,9430.9599609375,6166.33984375,5312.60009765625,1102.6600341796875
